accession	split	source_collection	source_bioprojects	fa_name	gff_name	n_chr	total_bp	gene_count	feature_count	fa_size	gff_size	fa_sha256	gff_sha256	status
AC	train	Shi et al. (2026)	PRJCA030093;PRJNA1201608	AC.fa.gz	AC.gff3.gz	12	811224091	31258	467264	233177036	4830626	6b11a75fc5d8c5546d9a2f94d4474ee3c09a366b82b6546fd872f255d42ae801	2d51072fa4034fa9903968fcd33ca13abac84db9a7479dde7f8db55fa82f32e5	PASS
BGV006775	train	Zhou et al. (2022)	PRJNA733299	BGV006775.fa.gz	BGV006775.gff3.gz	12	787641396	34992	469408	227847323	4637173	2477e4f81723503943a8c98a38faffabecc61d869c74a0c38a6d45c4c423859a	f9d60e6edc20cab3ec616387f2f6bc48830600c75c471726ea44c5c943926bb4	PASS
BGV006865	train	Zhou et al. (2022)	PRJNA733299	BGV006865.fa.gz	BGV006865.gff3.gz	12	782984782	34194	481911	226472765	4747545	543014d62ce600fa721692e04ac50b824ed4d1cc2cf0d60687fae61ba4fe60e8	304caf39d292050012f24916def7a7329c356f66fe6541cbe2b063b54a1ca71d	PASS
BGV007931	train	Zhou et al. (2022)	PRJNA733299	BGV007931.fa.gz	BGV007931.gff3.gz	12	778140584	34093	515614	225375031	4994133	f74996a28d31f7305e21608004fcdf80cfece4d9beae275da4a8bc36dfd019aa	b9381ed25b9f1788050b6de23bf05c61fa89945a60854d3be4365bd4fe88f6f3	PASS
BGV007989	train	Zhou et al. (2022)	PRJNA733299	BGV007989.fa.gz	BGV007989.gff3.gz	12	786704957	34209	464847	226982603	4600176	bda02dbf75b60a699a4e1ee910f7655dc3c1ede7ce4b6c429edd23a946f5621f	fb39d6164a4bc7b74cf50dccef8d29dc7e60ecc6b52cf054596d4c92fc014ab9	PASS
Brandywine	train	Zhou et al. (2022)	PRJNA733299	Brandywine.fa.gz	Brandywine.gff3.gz	12	780433169	35230	473508	225564325	4695139	4edfc6990bb3750f3a7e3458e5513282b791beac3982c3712b773b94c2e17657	a089e6d0934d2a6a4188e314e48a45840726dcec1b72f8e3cb7b901c8892194a	PASS
EA00371	train	Zhou et al. (2022)	PRJNA733299	EA00371.fa.gz	EA00371.gff3.gz	12	776981694	34561	466084	225072258	4593058	1ddd12f51805d2828aebf8f05d634731c336b0c51a26fecda424243ad428986b	ec245c18f09ee21ca0a6631d005be19dfa9253a72350e25e419aa7e33c0f5c8f	PASS
EA00990	train	Zhou et al. (2022)	PRJNA733299	EA00990.fa.gz	EA00990.gff3.gz	12	771818665	35614	501287	223672467	4889869	5492e5075062f44f8f2458923e3271a88f20bd4328734ce20800c93841b23739	72b803ba500b19230480ffc6058509a331f1783183b1d6e4a3ddf5a0283b0f65	PASS
Fla8924	train	Zhou et al. (2022)	PRJNA733299	Fla8924.fa.gz	Fla8924.gff3.gz	12	784980497	34709	469909	226830677	4641328	5005adc7a14937b604bf75fe7526354bee686f253f6f790a4ef0b2a6c71519c7	da7380333b97b53bdf11eb2c54186a2473a2afeb1c30f2621625d3944317d181	PASS
Floradade	train	Zhou et al. (2022)	PRJNA733299	Floradade.fa.gz	Floradade.gff3.gz	12	781667091	33891	511441	226011240	4921877	967d4f44cd4bad0c0f74d63d330a4090e79416dc4a3a50c6da37f41df6b1c38d	04b367b0805a5881a490a89af7c25896374f6b179423f20d69e08b159db4c58a	PASS
